Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-08-23,2018,8,23,Thursday,33,2018-33,65.32,67.37,65.18,66.71,72068400,66.14,0.015295471326144616,63.56142857142857,62.3788
2018-08-24,2018,8,24,Friday,33,2018-33,66.79,68.2,66.75,68.06,53151200,67.47,0.020161748039809302,63.88357142857143,62.405199999999994
2018-08-27,2018,8,27,Monday,34,2018-34,68.36,69.72,68.04,68.97,50577600,68.38,0.013518796171165137,64.2192857142857,62.458
2018-08-28,2018,8,28,Tuesday,34,2018-34,68.92,69.14,67.38,68.6,47538400,68.0,-0.005509397215266332,64.50142857142858,62.504
2018-08-29,2018,8,29,Wednesday,34,2018-34,68.48,69.88,68.27,69.62,42010800,69.06,0.015534435004568303,64.89428571428572,62.5956
2018-08-30,2018,8,30,Thursday,34,2018-34,69.31,70.43,69.08,69.45,34660800,68.89,-0.0024416827571152044,65.30428571428571,62.67320000000001
2018-08-31,2018,8,31,Friday,34,2018-34,69.25,70.3,69.15,70.17,30659200,69.6,0.010330844846626608,65.74142857142857,62.7908
2018-09-04,2018,9,4,Tuesday,35,2018-35,70.04,71.31,69.75,70.93,39172000,70.35,0.010759565403921423,66.13857142857144,62.9538
2018-09-05,2018,9,5,Wednesday,35,2018-35,70.75,71.11,68.79,69.61,39315600,69.04,-0.01861126073452346,66.48357142857142,63.1492
2018-09-06,2018,9,6,Thursday,35,2018-35,69.44,69.46,67.85,68.18,32279600,67.63,-0.020472659858985054,66.75642857142857,63.3022
2018-09-07,2018,9,7,Friday,35,2018-35,67.25,69.23,66.8,67.96,29542000,67.42,-0.0031533972714252734,67.23785714285714,63.482200000000006
2018-09-10,2018,9,10,Monday,36,2018-36,68.19,68.98,67.75,68.68,22014000,68.13,0.010557061627089137,67.71642857142857,63.6508
2018-09-11,2018,9,11,Tuesday,36,2018-36,68.21,69.1,68.0,68.2,24311200,67.65,-0.007024951000824009,68.06428571428572,63.82939999999999
