,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label,profit,if_over_5_pers
87,2017-05-09,2017,5,9,Tuesday,19,2017-19,25.75,26.23,25.67,25.74,84767200,25.42,0.0016544667067985,25.612857142857145,25.378200000000003,short,-12.911894006182479,False
88,2017-05-10,2017,5,10,Wednesday,19,2017-19,28.57,30.45,28.5,30.32,212909600,29.95,0.1782590113086253,25.966428571428573,25.4762,Long,-1.200727773396281,True
89,2017-05-11,2017,5,11,Thursday,19,2017-19,30.01,32.61,29.98,31.62,193979200,31.23,0.042954964214122,26.40428571428572,25.5932,Long,0.1470438900639408,True
90,2017-05-12,2017,5,12,Friday,19,2017-19,31.66,32.4,31.44,31.97,96262000,31.57,0.0109882210955205,26.84357142857143,25.7358,Long,1.528989689520202,False
91,2017-05-15,2017,5,15,Monday,20,2017-20,32.39,33.6,32.35,33.58,108754000,33.16,0.0501993763700687,27.365,25.913,Long,1.8259499377925437,False
92,2017-05-16,2017,5,16,Tuesday,20,2017-20,34.1,34.36,33.34,34.2,112070000,33.78,0.018613562147707,27.94357142857143,26.1064,Long,-2.3457871248732545,False
93,2017-05-17,2017,5,17,Wednesday,20,2017-20,33.53,33.72,31.89,31.93,127136800,31.53,-0.0664424604178487,28.33285714285714,26.2494,short,-1.6314847489075675,False
94,2017-05-18,2017,5,18,Thursday,20,2017-20,32.38,33.36,31.76,33.27,115603200,32.85,0.0418886882655553,28.84,26.4198,Long,3.4447032663589,False
95,2017-05-19,2017,5,19,Friday,20,2017-20,34.26,34.56,33.81,34.0,101837200,33.61,0.0230944978316831,29.360000000000003,26.6054,short,-1.5229775958892162,False
96,2017-05-22,2017,5,22,Monday,21,2017-21,34.44,34.87,34.33,34.72,83660800,34.33,0.0213234285224008,29.987142857142857,26.8026,Long,0.6779068687190204,False
97,2017-05-23,2017,5,23,Tuesday,21,2017-21,34.92,34.95,33.93,34.26,68124800,33.87,-0.0134625977403175,30.567857142857147,26.977,short,-3.2915802636996148,False
98,2017-05-24,2017,5,24,Wednesday,21,2017-21,35.24,35.27,34.52,34.64,81599600,34.25,0.0112382457640596,31.18285714285714,27.1594,short,-1.1835870070077448,False
99,2017-05-25,2017,5,25,Thursday,21,2017-21,35.0,35.01,34.11,34.56,60822800,34.17,-0.0022372839822452,31.79214285714286,27.3364,short,0.2642398422451038,False
100,2017-05-26,2017,5,26,Friday,21,2017-21,34.48,36.32,34.28,35.46,77914000,35.06,0.0258935153906711,32.48428571428571,27.525,Long,1.4808161717694333,False
101,2017-05-30,2017,5,30,Tuesday,22,2017-22,35.92,36.57,35.76,36.22,98965200,35.8,0.0213617140558921,33.22571428571428,27.7172,Long,1.4366259693468209,False
102,2017-05-31,2017,5,31,Wednesday,22,2017-22,36.67,36.75,35.51,36.09,88731600,35.68,-0.003588741553928,33.635,27.8904,short,-0.5167185831326577,False
103,2017-06-01,2017,6,1,Thursday,22,2017-22,36.25,36.26,35.63,36.09,50334000,35.68,6.896672660183789e-05,33.95285714285714,28.081,short,0.09696533727775147,False
104,2017-06-02,2017,6,2,Friday,22,2017-22,36.06,36.33,35.85,35.91,48745600,35.5,-0.0049876076942741,34.23357142857143,28.257400000000004,short,0.5548511786981862,False
