Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-01-24,2020,1,24,Friday,03,2020-03,332.44,332.53,327.36,328.77,87578400,314.85,-0.00889291080191057,314.1671428571429,304.8936
2020-01-27,2020,1,27,Monday,04,2020-04,323.03,325.12,322.66,323.5,84062500,309.8,-0.016029554133015322,314.15714285714284,305.2002
2020-01-28,2020,1,28,Tuesday,04,2020-04,325.06,327.85,323.6,326.89,63834000,313.05,0.010479338908103042,314.4414285714286,305.5698
2020-01-29,2020,1,29,Wednesday,04,2020-04,328.38,328.63,326.4,326.62,53888900,312.79,-0.0008258861094087022,314.59000000000003,305.92560000000003
2020-01-30,2020,1,30,Thursday,04,2020-04,324.36,327.91,323.54,327.68,75491800,313.81,0.0032451019312849105,314.6607142857143,306.2592
2020-01-31,2020,1,31,Friday,04,2020-04,327.0,327.17,320.73,321.73,113845600,308.11,-0.018157688005537742,314.3885714285715,306.4744
2020-02-03,2020,2,3,Monday,05,2020-05,323.35,326.16,323.22,324.12,69083000,310.4,0.007428475946620772,314.1264285714286,306.73720000000003
2020-02-04,2020,2,4,Tuesday,05,2020-05,328.07,330.01,327.72,329.06,62573200,315.13,0.015241052435772229,314.2364285714285,307.1166
2020-02-05,2020,2,5,Wednesday,05,2020-05,332.27,333.09,330.67,332.86,65951100,318.77,0.011548041010764232,314.55571428571426,307.5784
2020-02-06,2020,2,6,Thursday,05,2020-05,333.91,334.19,332.8,333.98,50359700,319.84,0.0033651131491772013,314.765,308.0484
2020-02-07,2020,2,7,Friday,05,2020-05,332.82,333.99,331.6,332.2,64139400,318.14,-0.005329770420752111,314.78214285714284,308.4384
2020-02-10,2020,2,10,Monday,06,2020-06,331.23,334.75,331.19,334.68,42070000,320.51,0.007465343144002601,315.0135714285715,308.86240000000004
2020-02-11,2020,2,11,Tuesday,06,2020-06,336.16,337.02,334.68,335.26,54864500,321.07,0.0017329159481491718,315.28214285714284,309.2708
2020-02-12,2020,2,12,Wednesday,06,2020-06,336.83,337.65,336.43,337.42,43992700,323.14,0.006442899536714508,315.67214285714283,309.74300000000005
2020-02-13,2020,2,13,Thursday,06,2020-06,335.86,338.12,335.56,337.06,54501900,322.79,-0.001067005348154182,316.2392857142857,310.259
